"label","node_feature_name","GNNExplainer"
"N1","0.0488102771341801",0.14
"N10","0.0286877118051052",0.14
"N11","-0.0132343135774136",0.15
"N12","-0.0896658077836037",0.15
"N13","-0.0605446174740791",0.15
"N14","-0.143165946006775",0.14
"N15","-0.143662124872208",0.88
"N16","-0.0629215240478516",0.14
"N17","0.0735498070716858",0.15
"N18","-0.14450541138649",0.14
"N19","0.0380206480622292",0.15
"N2","-0.0800052732229233",0.88
"N20","0.00504007656127214",0.13
"N21","0.0867637991905212",0.14
"N22","-0.0926362797617912",0.13
"N23","0.109527073800564",0.13
"N24","0.141949415206909",0.15
"N25","-0.00776838092133403",0.15
"N26","-0.12128010392189",0.13
"N27","0.00916648097336292",0.12
"N28","-0.099990613758564",0.14
"N29","-0.129770293831825",0.16
"N3","-0.840446412563324",0.89
"N30","-0.0329927653074265",0.14
"N4","-0.146166056394577",0.13
"N5","0.166136547923088",0.15
"N6","0.0441937744617462",0.16
"N7","-0.840446412563324",0.87
"N8","0.0431568287312984",0.13
"N9","-0.0199458692222834",0.14
