"label","node_feature_name","GNNExplainer"
"N1","0.0688915476202965",0.14
"N10","0.0212401747703552",0.14
"N11","-0.120978027582169",0.15
"N12","0.0127049135044217",0.15
"N13","-0.00630889087915421",0.15
"N14","-0.233951330184937",0.14
"N15","0.119064621627331",0.88
"N16","0.1562689691782",0.14
"N17","0.0506315231323242",0.15
"N18","0.139052361249924",0.14
"N19","0.111341625452042",0.15
"N2","-0.0126689318567514",0.88
"N20","-0.0736347213387489",0.13
"N21","0.158404558897018",0.14
"N22","-0.0493525378406048",0.13
"N23","0.0527783967554569",0.13
"N24","0.0629487708210945",0.15
"N25","0.230155259370804",0.15
"N26","0.0424434281885624",0.13
"N27","-0.244864746928215",0.12
"N28","-0.0404008515179157",0.14
"N29","-0.165949389338493",0.16
"N3","-0.96621698141098",0.89
"N30","-0.114509776234627",0.14
"N4","-0.00945154670625925",0.13
"N5","-0.0211631245911121",0.15
"N6","0.104918479919434",0.16
"N7","-0.96621698141098",0.87
"N8","-0.187431663274765",0.13
"N9","-0.164962708950043",0.14
