"label","node_feature_name","GNNExplainer"
"N1","0.132161974906921",0.14
"N10","-0.136897012591362",0.14
"N11","-0.0758643373847008",0.15
"N12","-0.00649460684508085",0.15
"N13","-0.0260044727474451",0.15
"N14","0.00751631148159504",0.14
"N15","0.0218640957027674",0.88
"N16","-0.0262588523328304",0.14
"N17","0.110811829566956",0.15
"N18","-0.0291843563318253",0.14
"N19","-0.121050998568535",0.15
"N2","0.198633521795273",0.88
"N20","-0.025811368599534",0.13
"N21","-0.0138210384175181",0.14
"N22","-0.0913950875401497",0.13
"N23","0.0237193461507559",0.13
"N24","0.173825159668922",0.15
"N25","-0.00433626910671592",0.15
"N26","-0.0335613377392292",0.13
"N27","-0.0970159769058228",0.12
"N28","-0.0703027099370956",0.14
"N29","0.074341744184494",0.16
"N3","-1.00459909439087",0.89
"N30","0.0221975166350603",0.14
"N4","-0.0412460565567017",0.13
"N5","-0.058439165353775",0.15
"N6","-0.0569057911634445",0.16
"N7","-1.00459909439087",0.87
"N8","0.105517856776714",0.13
"N9","0.148933306336403",0.14
