"label","node_feature_name","GNNExplainer"
"N1","0.0813797637820244","0.12"
"N2","0.0628049001097679","0.14"
"N3","-0.887635827064514","0.14"
"N4","-0.0633808895945549","0.15"
"N5","0.00141689623706043","0.15"
"N6","0.0357654318213463","0.13"
"N7","-0.887635827064514","0.14"
"N8","0.113014616072178","0.14"
"N9","-0.148675605654716","0.14"
"N10","0.218041926622391","0.13"
"N11","-0.141104966402054","0.16"
"N12","-0.00495235109701753","0.15"
"N13","-0.0541631542146206","0.14"
"N14","-0.0272634401917458","0.13"
"N15","-0.049844890832901","0.13"
"N16","-0.0285766925662756","0.14"
"N17","-0.0385568290948868","0.15"
"N18","0.0677397847175598","0.14"
"N19","0.0797470882534981","0.15"
"N20","-0.0586692839860916","0.13"
"N21","0.00666224304586649","0.13"
"N22","0.101727277040482","0.15"
"N23","0.0840768963098526","0.14"
"N24","0.0856351628899574","0.16"
"N25","-0.0574361197650433","0.15"
"N26","0.0729178935289383","0.15"
"N27","-0.0142679903656244","0.15"
"N28","-0.0103162648156285","0.15"
"N29","0.0807632058858871","0.15"
"N30","-0.114296324551105","0.14"
