"from","to","Saliency","IntegratedGradients"
"N1","N2","0.02","0.07"
"N1","N6","0.02","0.01"
"N1","N10","0.04","0.0"
"N1","N23","0.02","0.01"
"N10","N14","0.03","0.0"
"N10","N19","0.02","0.01"
"N14","N26","0.02","0.0"
"N14","N30","0.02","0.0"
"N15","N16","0.15","0.14"
"N15","N29","0.15","0.14"
"N17","N25","0.02","0.01"
"N2","N3","1.0","1.0"
"N2","N4","0.04","0.03"
"N2","N5","0.03","0.02"
"N2","N9","0.02","0.01"
"N2","N17","0.03","0.02"
"N2","N21","0.02","0.01"
"N3","N7","0.63","0.32"
"N3","N20","0.02","0.19"
"N3","N27","0.01","0.18"
"N4","N8","0.03","0.0"
"N4","N11","0.02","0.01"
"N4","N12","0.02","0.01"
"N4","N24","0.02","0.02"
"N5","N13","0.02","0.0"
"N7","N15","0.07","0.5"
"N8","N28","0.02","0.0"
"N9","N18","0.02","0.01"
"N9","N22","0.02","0.0"
