"label","node_feature_name","GNNExplainer"
"N1","0.0349815003573895","0.14"
"N2","-0.0286168530583382","0.13"
"N3","-1.06509065628052","0.15"
"N4","-0.152070477604866","0.14"
"N5","-0.144851669669151","0.15"
"N6","0.00030999380396679","0.13"
"N7","-1.06509065628052","0.15"
"N8","-0.205551117658615","0.15"
"N9","-0.0545115917921066","0.15"
"N10","0.162688180804253","0.14"
"N11","-0.105955824255943","0.13"
"N12","-0.0434010699391365","0.15"
"N13","-0.0376072004437447","0.14"
"N14","-0.139148816466331","0.12"
"N15","-0.103440970182419","0.16"
"N16","0.14276385307312","0.14"
"N17","-0.00681742653250694","0.15"
"N18","-0.00847826804965734","0.13"
"N19","0.0133565543219447","0.14"
"N20","0.0537707917392254","0.14"
"N21","-0.0948860570788383","0.12"
"N22","0.181832000613213","0.15"
"N23","-0.144225552678108","0.14"
"N24","-0.0777171552181244","0.16"
"N25","-0.0550612360239029","0.15"
"N26","-0.207476109266281","0.14"
"N27","-0.00503788609057665","0.16"
"N28","-0.0669645145535469","0.14"
"N29","0.110083095729351","0.15"
"N30","0.0340510904788971","0.13"
