"label","node_feature_name","GNNExplainer"
"N1","0.0427298918366432","0.14"
"N2","-0.0636823698878288","0.13"
"N3","-0.981485307216644","0.15"
"N4","0.205422982573509","0.14"
"N5","-0.0990201756358147","0.15"
"N6","0.0637343004345894","0.13"
"N7","-0.981485307216644","0.13"
"N8","-0.190733775496483","0.13"
"N9","-0.160203158855438","0.15"
"N10","0.0395250730216503","0.14"
"N11","-0.0174450986087322","0.13"
"N12","0.13849276304245","0.14"
"N13","-0.0201883316040039","0.14"
"N14","0.0394979529082775","0.16"
"N15","0.250239580869675","0.14"
"N16","0.0435434617102146","0.13"
"N17","0.10336734354496","0.15"
"N18","0.0766211450099945","0.15"
"N19","0.0623064078390598","0.16"
"N20","-0.151938989758492","0.15"
"N21","0.0432359836995602","0.14"
"N22","-0.0261427834630013","0.14"
"N23","-0.0900786444544792","0.15"
"N24","-0.0611465685069561","0.15"
"N25","-0.0118619380518794","0.17"
"N26","0.0439035035669804","0.14"
"N27","0.0121157607063651","0.14"
"N28","0.0537354871630669","0.14"
"N29","0.0784079432487488","0.14"
"N30","0.0543166548013687","0.14"
