"label","node_feature_name","GNNExplainer"
"N1","-0.26611340045929","0.11"
"N2","-0.0592410787940025","0.15"
"N3","1.07622396945953","0.14"
"N4","0.205416634678841","0.14"
"N5","-0.0138942403718829","0.13"
"N6","0.02266632206738","0.13"
"N7","1.07622396945953","0.15"
"N8","0.0178358964622021","0.13"
"N9","-0.0347565747797489","0.16"
"N10","0.00390049116685987","0.14"
"N11","-0.0614659041166306","0.15"
"N12","0.0407026298344135","0.14"
"N13","0.0615053810179234","0.14"
"N14","-0.0351221822202206","0.15"
"N15","0.193250551819801","0.15"
"N16","-0.00504561979323626","0.14"
"N17","0.0206661336123943","0.15"
"N18","-0.114543505012989","0.16"
"N19","0.0169751141220331","0.13"
"N20","-0.0372690819203854","0.12"
"N21","0.020906999707222","0.15"
"N22","0.035633247345686","0.14"
"N23","-0.0738561749458313","0.13"
"N24","0.122449561953545","0.15"
"N25","-0.142394572496414","0.14"
"N26","0.0838341638445854","0.13"
"N27","0.0300508737564087","0.15"
"N28","0.207861512899399","0.16"
"N29","0.104390442371368","0.13"
"N30","-0.0324012450873852","0.14"
