"label","node_feature_name","GNNExplainer"
"N1","-0.0314155668020248","0.13"
"N2","-0.116107404232025","0.16"
"N3","0.986765503883362","0.15"
"N4","-0.086962066590786","0.14"
"N5","-0.10114561766386","0.13"
"N6","-0.0330619737505913","0.15"
"N7","0.986765503883362","0.14"
"N8","0.0547779276967049","0.16"
"N9","0.164268761873245","0.13"
"N10","0.0455941706895828","0.13"
"N11","-0.0535500198602676","0.14"
"N12","0.0693365857005119","0.14"
"N13","-0.117015115916729","0.14"
"N14","0.0661380961537361","0.14"
"N15","0.0121205952018499","0.14"
"N16","0.135039925575256","0.13"
"N17","0.0836937353014946","0.14"
"N18","0.117758370935917","0.14"
"N19","-0.039394810795784","0.14"
"N20","-0.138621479272842","0.14"
"N21","-0.0261466205120087","0.15"
"N22","0.0351978354156017","0.14"
"N23","0.0396963208913803","0.14"
"N24","0.0119279278442264","0.15"
"N25","-0.0942077562212944","0.14"
"N26","0.0501257814466953","0.13"
"N27","7.95623345766217e-05","0.15"
"N28","-0.0215307381004095","0.14"
"N29","-0.0701140984892845","0.14"
"N30","-0.0666084662079811","0.13"
