"label","node_feature_name","GNNExplainer"
"N1","-0.113938234746456","0.14"
"N2","0.0390161536633968","0.13"
"N3","-1.18631744384766","0.16"
"N4","0.0198178719729185","0.13"
"N5","-0.0549174882471561","0.14"
"N6","0.0985624343156815","0.17"
"N7","-1.18631744384766","0.14"
"N8","0.011356309056282","0.15"
"N9","-0.0807619765400887","0.14"
"N10","0.0499058663845062","0.14"
"N11","-0.0977884382009506","0.15"
"N12","0.0436455942690372","0.14"
"N13","0.0902292504906654","0.14"
"N14","0.0466392636299133","0.15"
"N15","0.0861084535717964","0.14"
"N16","0.0710146501660347","0.14"
"N17","0.20430900156498","0.15"
"N18","-0.0263349805027246","0.14"
"N19","0.103117659687996","0.14"
"N20","-0.0125255631282926","0.15"
"N21","-0.139278590679169","0.13"
"N22","-0.269249737262726","0.15"
"N23","0.032594732940197","0.15"
"N24","0.0154384067282081","0.13"
"N25","0.0596785917878151","0.15"
"N26","-0.0297531168907881","0.13"
"N27","0.0081665487959981","0.12"
"N28","0.0365812368690968","0.14"
"N29","0.0658032670617104","0.16"
"N30","0.0444957539439201","0.14"
