"label","node_feature_name","GNNExplainer"
"N1","0.00498356902971864",0.14
"N10","-0.0443806238472462",0.14
"N11","0.0988975837826729",0.15
"N12","-0.067164771258831",0.15
"N13","-0.122615173459053",0.15
"N14","-0.18046447634697",0.14
"N15","0.0121572334319353",0.88
"N16","0.105992995202541",0.14
"N17","-0.040547002106905",0.15
"N18","-0.0151413828134537",0.14
"N19","0.027712432667613",0.15
"N2","0.0622077696025372",0.88
"N20","-0.00459045451134443",0.13
"N21","0.0410908944904804",0.14
"N22","0.0191245079040527",0.13
"N23","-0.151773601770401",0.13
"N24","0.100661583244801",0.15
"N25","-0.0681341141462326",0.15
"N26","0.0242456942796707",0.13
"N27","-0.00796644762158394",0.12
"N28","0.0979219749569893",0.14
"N29","0.088348850607872",0.16
"N3","-0.898719429969788",0.89
"N30","0.102774307131767",0.14
"N4","0.185766190290451",0.13
"N5","-0.0170469153672457",0.15
"N6","-0.146187171339989",0.16
"N7","-0.898719429969788",0.87
"N8","-0.028072077780962",0.13
"N9","-0.0355047211050987",0.14
