"label","node_feature_name","GNNExplainer"
"N1","-0.0987506657838821","0.14"
"N2","-0.0451325289905071","0.15"
"N3","0.83779513835907","0.14"
"N4","-0.157914996147156","0.15"
"N5","-0.108277194201946","0.13"
"N6","-0.0416231229901314","0.15"
"N7","0.83779513835907","0.14"
"N8","0.104636363685131","0.15"
"N9","-0.139328628778458","0.15"
"N10","0.0547025837004185","0.15"
"N11","-0.00575875164940953","0.13"
"N12","0.021244715899229","0.13"
"N13","-0.0129460748285055","0.13"
"N14","0.0075097675435245","0.14"
"N15","0.00476386677473783","0.14"
"N16","-0.0485483929514885","0.14"
"N17","0.0976992845535278","0.15"
"N18","0.0859798043966293","0.15"
"N19","-0.0212233159691095","0.15"
"N20","0.0800360143184662","0.14"
"N21","-0.0492538027465343","0.14"
"N22","0.110976293683052","0.16"
"N23","-0.011467813514173","0.15"
"N24","0.0758257582783699","0.16"
"N25","0.12475698441267","0.15"
"N26","-0.18073196709156","0.14"
"N27","-0.186769813299179","0.15"
"N28","-0.04194700345397","0.15"
"N29","0.031978290528059","0.13"
"N30","0.170210242271423","0.15"
