"label","node_feature_name","GNNExplainer"
"N1","-0.100831538438797",0.14
"N10","0.0102447066456079",0.14
"N11","0.0991278514266014",0.15
"N12","-0.117751486599445",0.15
"N13","-0.0899907872080803",0.15
"N14","-0.119111530482769",0.14
"N15","-0.0385325588285923",0.88
"N16","-0.0247585456818342",0.14
"N17","-0.113163970410824",0.15
"N18","-0.0613435655832291",0.14
"N19","0.0837087333202362",0.15
"N2","0.0269859917461872",0.88
"N20","0.00257698842324317",0.13
"N21","0.0890253856778145",0.14
"N22","-0.244008034467697",0.13
"N23","0.0418652407824993",0.13
"N24","0.123423114418983",0.15
"N25","0.0811626613140106",0.15
"N26","0.0999072939157486",0.13
"N27","0.0157819334417582",0.12
"N28","-0.0895665809512138",0.14
"N29","0.163601845502853",0.16
"N3","-0.891218304634094",0.89
"N30","0.0635491758584976",0.14
"N4","-0.0925739333033562",0.13
"N5","-0.0102437995374203",0.15
"N6","0.0263949614018202",0.16
"N7","-0.891218304634094",0.87
"N8","0.0823924914002419",0.13
"N9","0.120675340294838",0.14
