"label","node_feature_name","GNNExplainer"
"N1","0.0563536994159222","0.15"
"N2","0.136658877134323","0.14"
"N3","-0.899843752384186","0.13"
"N4","0.0135768540203571","0.13"
"N5","0.01231406070292","0.16"
"N6","-0.01063003949821","0.15"
"N7","-0.899843752384186","0.14"
"N8","-0.0713267549872398","0.13"
"N9","-0.119559094309807","0.14"
"N10","-0.169752955436707","0.14"
"N11","-0.10316626727581","0.14"
"N12","-0.0118735115975142","0.14"
"N13","0.0459687970578671","0.14"
"N14","0.129310339689255","0.14"
"N15","-0.0471286810934544","0.15"
"N16","-0.0617442429065704","0.15"
"N17","-0.0591210573911667","0.16"
"N18","-0.137507289648056","0.15"
"N19","-0.0462382510304451","0.15"
"N20","0.183629140257835","0.13"
"N21","0.0328005515038967","0.14"
"N22","0.0960832685232162","0.15"
"N23","-0.0137722110375762","0.14"
"N24","0.169683396816254","0.14"
"N25","-0.0559727735817432","0.14"
"N26","0.146761566400528","0.15"
"N27","-0.0598660595715046","0.13"
"N28","-0.0858976989984512","0.14"
"N29","-0.0192262176424265","0.15"
"N30","0.00209723971784115","0.13"
