"label","node_feature_name","GNNExplainer"
"N1","0.139080956578255","0.13"
"N2","0.269405364990234","0.14"
"N3","1.07766437530518","0.13"
"N4","0.00808636471629143","0.14"
"N5","0.203166663646698","0.14"
"N6","-0.0565045811235905","0.13"
"N7","1.07766437530518","0.14"
"N8","0.116612575948238","0.15"
"N9","-0.109010644257069","0.14"
"N10","-0.137489005923271","0.14"
"N11","-0.00220726523548365","0.13"
"N12","-0.0403291098773479","0.15"
"N13","-0.108693107962608","0.15"
"N14","-0.116568230092525","0.14"
"N15","0.0477116778492928","0.13"
"N16","-0.0342766307294369","0.13"
"N17","-0.0491270944476128","0.14"
"N18","0.0492910593748093","0.14"
"N19","0.000544373237062246","0.13"
"N20","0.0443007908761501","0.13"
"N21","-0.0445884317159653","0.14"
"N22","0.0124450707808137","0.14"
"N23","-0.0875220522284508","0.14"
"N24","0.07215216755867","0.14"
"N25","0.0904099196195602","0.13"
"N26","-0.0653533190488815","0.14"
"N27","-0.0118626346811652","0.13"
"N28","0.105827942490578","0.14"
"N29","0.0364636108279228","0.15"
"N30","0.0833563357591629","0.14"
