"from","to","Saliency","IntegratedGradients"
"N1","N2","0.03","0.04"
"N1","N6","0.05","0.03"
"N1","N10","0.05","0.02"
"N1","N23","0.05","0.02"
"N10","N14","0.02","0.0"
"N10","N19","0.04","0.02"
"N14","N26","0.03","0.03"
"N14","N30","0.04","0.01"
"N15","N16","0.15","0.14"
"N15","N29","0.15","0.15"
"N17","N25","0.04","0.02"
"N2","N3","1.0","1.0"
"N2","N4","0.05","0.04"
"N2","N5","0.04","0.04"
"N2","N9","0.04","0.03"
"N2","N17","0.04","0.04"
"N2","N21","0.04","0.03"
"N3","N7","0.69","0.34"
"N3","N20","0.01","0.19"
"N3","N27","0.01","0.16"
"N4","N8","0.03","0.01"
"N4","N11","0.04","0.01"
"N4","N12","0.04","0.02"
"N4","N24","0.04","0.0"
"N5","N13","0.04","0.02"
"N7","N15","0.01","0.52"
"N8","N28","0.04","0.0"
"N9","N18","0.04","0.01"
"N9","N22","0.04","0.02"
